,Sno,Customer_number,Insurance,balance,housing,loan,contact,duration,campaign,last_contact_day,previous,poutcome,Term Deposit,Count_Txn
1305,1305,2306,no,697.0,yes,no,,111.0,1,1,0,,no,131.0
1306,1306,2307,no,841.0,yes,no,,284.0,4,1,0,,no,232.0
1307,1307,2308,no,7317.0,yes,no,,140.0,1,1,0,,no,389.0
1308,1308,2309,no,95.0,yes,no,,110.0,1,1,0,,no,495.0
1309,1309,2310,no,751.0,yes,no,,64.0,1,1,0,,no,120.0
1310,1310,2311,no,250.0,yes,no,,149.0,1,1,0,,no,494.0
1311,1311,2312,no,365.0,yes,no,,256.0,2,1,0,,no,442.0
1312,1312,2313,no,1315.0,yes,no,,156.0,1,1,0,,no,415.0
1313,1313,2314,no,65.0,yes,no,,63.0,3,1,0,,no,168.0
1314,1314,2315,no,1852.0,no,no,,362.0,1,1,0,,no,157.0
1315,1315,2316,no,84.0,yes,no,,32.0,3,1,0,,no,145.0
1316,1316,2317,no,36.0,yes,no,,712.0,1,1,0,,no,313.0
1317,1317,2318,no,125.0,yes,no,,102.0,2,1,0,,no,100.0
1318,1318,2319,no,0.0,no,no,,338.0,2,1,0,,no,353.0
1319,1319,2320,no,105.0,yes,no,,69.0,2,1,0,,no,307.0
1320,1320,2321,no,432.0,yes,no,,446.0,1,1,0,,no,289.0
1321,1321,2322,no,555.0,yes,no,,249.0,2,1,0,,no,410.0
1322,1322,2323,no,24.0,yes,no,,176.0,1,1,0,,no,456.0
1323,1323,2324,no,2261.0,yes,no,,1007.0,1,1,0,,no,404.0
1324,1324,2325,no,804.0,yes,yes,,266.0,1,1,0,,no,469.0
1325,1325,2326,yes,617.0,yes,no,,172.0,1,1,0,,no,221.0
1326,1326,2327,no,1.0,yes,no,,323.0,1,1,0,,no,144.0
1327,1327,2328,no,237.0,yes,no,,175.0,1,1,0,,no,407.0
1328,1328,2329,no,514.0,yes,no,,459.0,1,1,0,,no,408.0
1329,1329,2330,no,1988.0,yes,no,,211.0,2,1,0,,no,201.0
1330,1330,2331,no,491.0,yes,no,,237.0,1,1,0,,no,250.0
1331,1331,2332,no,675.0,yes,no,,50.0,1,1,0,,no,344.0
1332,1332,2333,no,177.0,yes,no,,500.0,1,1,0,,no,218.0
1333,1333,2334,no,340.0,yes,no,,186.0,1,1,0,,no,266.0
1334,1334,2335,no,230.0,yes,no,,96.0,1,1,0,,no,194.0
1335,1335,2336,yes,0.0,no,no,,98.0,1,1,0,,no,469.0
1336,1336,2337,no,2331.0,yes,no,,364.0,4,1,0,,no,413.0
1337,1337,2338,no,0.0,yes,no,,477.0,1,1,0,,no,453.0
1338,1338,2339,no,217.0,yes,no,,319.0,1,1,0,,no,402.0
1339,1339,2340,no,186.0,yes,no,,178.0,1,1,0,,no,230.0
1340,1340,2341,no,168.0,yes,yes,,513.0,1,1,0,,yes,403.0
1341,1341,2342,no,145.0,yes,no,,170.0,1,1,0,,no,471.0
1342,1342,2343,no,140.0,yes,no,,139.0,1,1,0,,no,448.0
1343,1343,2344,no,22.0,yes,no,,70.0,1,1,0,,no,282.0
1344,1344,2345,no,389.0,yes,no,,110.0,1,1,0,,no,147.0
1345,1345,2346,no,323.0,yes,yes,,280.0,2,1,0,,no,198.0
1346,1346,2347,no,6.0,yes,no,,667.0,1,1,0,,no,319.0
1347,1347,2348,no,225.0,yes,yes,,63.0,2,1,0,,no,108.0
1348,1348,2349,no,142.0,yes,no,,159.0,4,1,0,,no,191.0
1349,1349,2350,no,5.0,no,no,,177.0,2,1,0,,no,423.0
1350,1350,2351,no,174.0,yes,yes,,108.0,3,1,0,,no,207.0
1351,1351,2352,no,768.0,yes,no,,194.0,3,1,0,,no,208.0
1352,1352,2353,no,30.0,no,no,,366.0,2,1,0,,no,238.0
1353,1353,2354,no,968.0,yes,yes,,213.0,1,1,0,,no,208.0
1354,1354,2355,no,47.0,yes,yes,,141.0,1,1,0,,no,340.0
1355,1355,2356,no,0.0,yes,yes,,982.0,1,1,0,,no,111.0
1356,1356,2357,no,91.0,yes,no,,168.0,2,1,0,,no,111.0
1357,1357,2358,no,77.0,yes,no,,468.0,1,1,0,,no,189.0
1358,1358,2359,no,486.0,yes,no,,180.0,1,1,0,,no,354.0
1359,1359,2360,no,341.0,yes,no,,195.0,1,1,0,,no,311.0
1360,1360,2361,no,50.0,yes,no,,352.0,3,1,0,,no,325.0
1361,1361,2362,no,205.0,yes,no,,91.0,1,1,0,,no,339.0
1362,1362,2363,no,762.0,yes,no,,288.0,1,1,0,,no,359.0
1363,1363,2364,no,31.0,yes,no,,72.0,1,1,0,,no,200.0
1364,1364,2365,yes,581.0,yes,no,,218.0,2,1,0,,no,160.0
1365,1365,2366,no,45.0,yes,no,,289.0,1,1,0,,no,240.0
1366,1366,2367,no,0.0,no,no,,384.0,1,1,0,,no,315.0
1367,1367,2368,no,120.0,yes,yes,,130.0,3,1,0,,no,194.0
1368,1368,2369,no,335.0,yes,no,,226.0,1,1,0,,no,138.0
1369,1369,2370,no,232.0,yes,no,,208.0,1,1,0,,no,358.0
1370,1370,2371,no,785.0,yes,no,,442.0,2,1,0,,yes,149.0
1371,1371,2372,no,28.0,yes,no,,101.0,1,1,0,,no,266.0
1372,1372,2373,no,2067.0,yes,no,,756.0,1,1,0,,yes,103.0
1373,1373,2374,no,448.0,yes,no,,189.0,1,1,0,,no,415.0
1374,1374,2375,no,37.0,yes,no,,108.0,1,1,0,,no,138.0
1375,1375,2376,no,301.0,yes,no,,205.0,1,1,0,,no,484.0
1376,1376,2377,no,668.0,no,no,,238.0,1,1,0,,no,238.0
1377,1377,2378,no,115.0,yes,yes,,136.0,1,1,0,,no,452.0
1378,1378,2379,no,275.0,no,no,,14.0,1,1,0,,no,214.0
1379,1379,2380,no,414.0,no,no,,395.0,1,1,0,,no,198.0
1380,1380,2381,no,3.0,yes,no,,161.0,1,1,0,,no,176.0
1381,1381,2382,no,496.0,no,no,,269.0,3,2,0,,no,480.0
1382,1382,2383,no,150.0,yes,no,,491.0,1,1,0,,no,419.0
1383,1383,2384,no,163.0,no,no,,44.0,1,1,0,,no,118.0
1384,1384,2385,no,1322.0,yes,no,,26.0,1,1,0,,no,258.0
1385,1385,2386,no,1713.0,yes,no,,22.0,1,1,0,,no,234.0
1386,1386,2387,no,242.0,yes,no,,161.0,8,1,0,,no,243.0
1387,1387,2388,no,29.0,no,no,,406.0,2,1,0,,no,393.0
1388,1388,2389,no,381.0,yes,no,,422.0,4,1,0,,no,156.0
1389,1389,2390,no,82.0,yes,no,,147.0,5,1,0,,no,356.0
1390,1390,2391,no,21.0,yes,no,,219.0,3,1,0,,no,276.0
1391,1391,2392,no,1801.0,yes,no,,807.0,2,1,0,,no,345.0
1392,1392,2393,no,640.0,yes,yes,,347.0,2,1,0,,no,144.0
1393,1393,2394,no,113.0,yes,no,,534.0,2,1,0,,no,441.0
1394,1394,2395,no,1042.0,yes,no,,58.0,2,1,0,,no,108.0
1395,1395,2396,no,240.0,yes,no,,155.0,2,1,0,,no,309.0
1396,1396,2397,no,244.0,yes,no,,152.0,2,1,0,,no,414.0
1397,1397,2398,no,70.0,yes,yes,,461.0,3,1,0,,no,158.0
1398,1398,2399,no,339.0,yes,no,,389.0,2,1,0,,no,187.0
1399,1399,2400,no,59.0,yes,no,,314.0,3,1,0,,no,217.0
1400,1400,2401,no,1222.0,yes,no,,28.0,3,1,0,,no,423.0
1401,1401,2402,no,41.0,yes,no,,229.0,2,1,0,,no,441.0
1402,1402,2403,no,0.0,yes,no,,30.0,2,1,0,,no,448.0
1403,1403,2404,no,6.0,yes,no,,103.0,4,1,0,,no,109.0
1404,1404,2405,no,4.0,yes,no,,32.0,2,1,0,,no,397.0
1405,1405,2406,no,20.0,yes,yes,,252.0,2,1,0,,no,115.0
1406,1406,2407,no,846.0,yes,no,,369.0,2,1,0,,no,351.0
1407,1407,2408,no,338.0,yes,no,,116.0,1,1,0,,no,286.0
1408,1408,2409,no,90.0,yes,yes,,20.0,2,1,0,,no,376.0
1409,1409,2410,no,406.0,yes,no,,31.0,1,1,0,,no,147.0
1410,1410,2411,no,2.0,no,no,,190.0,1,1,0,,no,368.0
1411,1411,2412,no,2211.0,no,no,,149.0,1,1,0,,no,240.0
1412,1412,2413,no,87.0,yes,no,,210.0,1,1,0,,no,387.0
1413,1413,2414,no,178.0,yes,no,,234.0,1,1,0,,no,361.0
1414,1414,2415,no,185.0,yes,yes,,63.0,1,1,0,,no,187.0
1415,1415,2416,no,210.0,yes,no,,21.0,1,1,0,,no,203.0
1416,1416,2417,no,388.0,yes,no,,2087.0,2,1,0,,yes,411.0
1417,1417,2418,no,1.0,yes,no,,102.0,1,1,0,,no,162.0
1418,1418,2419,yes,879.0,yes,no,,245.0,1,1,0,,no,111.0
1419,1419,2420,no,214.0,yes,no,,190.0,1,1,0,,no,153.0
1420,1420,2421,no,698.0,yes,no,,223.0,2,1,0,,no,398.0
1421,1421,2422,no,1601.0,yes,no,,650.0,2,1,0,,no,369.0
1422,1422,2423,no,717.0,yes,no,,42.0,1,1,0,,no,107.0
1423,1423,2424,no,255.0,yes,no,,206.0,2,1,0,,no,240.0
1424,1424,2425,no,375.0,yes,no,,66.0,2,1,0,,no,194.0
1425,1425,2426,no,587.0,yes,no,,173.0,2,1,0,,no,474.0
1426,1426,2427,no,644.0,yes,yes,,477.0,2,1,0,,no,395.0
1427,1427,2428,no,0.0,yes,no,,77.0,1,1,0,,no,398.0
1428,1428,2429,no,275.0,yes,no,,219.0,2,1,0,,no,308.0
1429,1429,2430,no,116.0,yes,no,,376.0,2,1,0,,no,451.0
1430,1430,2431,no,37.0,yes,yes,,453.0,2,1,0,,no,496.0
1431,1431,2432,no,753.0,yes,no,,151.0,2,1,0,,no,163.0
1432,1432,2433,no,162.0,yes,no,,200.0,2,1,0,,no,366.0
1433,1433,2434,no,984.0,yes,no,,298.0,5,1,0,,no,104.0
1434,1434,2435,no,199.0,yes,no,,627.0,3,1,0,,no,322.0
1435,1435,2436,no,241.0,yes,no,,133.0,1,1,0,,no,331.0
1436,1436,2437,no,648.0,yes,yes,,287.0,1,1,0,,no,390.0
1437,1437,2438,no,907.0,yes,yes,,242.0,1,1,0,,no,313.0
1438,1438,2439,no,6322.0,no,no,,184.0,1,1,0,,no,374.0
1439,1439,2440,no,125.0,yes,yes,,119.0,2,1,0,,no,364.0
1440,1440,2441,no,90.0,yes,no,,403.0,2,1,0,,no,106.0
1441,1441,2442,no,54.0,yes,yes,,626.0,6,1,0,,no,141.0
1442,1442,2443,no,132.0,no,no,,12.0,1,1,0,,no,132.0
1443,1443,2444,no,267.0,no,no,,266.0,1,1,0,,no,314.0
1444,1444,2445,no,289.0,yes,no,,23.0,4,1,0,,no,210.0
1445,1445,2446,no,613.0,yes,no,,154.0,2,1,0,,no,375.0
1446,1446,2447,no,618.0,yes,no,,10.0,7,1,0,,no,421.0
1447,1447,2448,no,1786.0,yes,no,,66.0,2,1,0,,no,206.0
1448,1448,2449,no,607.0,yes,yes,,240.0,3,2,0,,no,436.0
1449,1449,2450,no,586.0,yes,yes,,224.0,2,1,0,,no,419.0
1450,1450,2451,no,459.0,yes,no,,202.0,2,1,0,,no,124.0
1451,1451,2452,no,298.0,yes,no,,144.0,3,1,0,,no,416.0
1452,1452,2453,no,134.0,no,no,,263.0,2,1,0,,no,417.0
1453,1453,2454,no,34.0,yes,no,,543.0,3,1,0,,no,193.0
1454,1454,2455,no,1378.0,yes,no,,257.0,2,1,0,,no,374.0
1455,1455,2456,no,417.0,yes,yes,,237.0,2,1,0,,no,396.0
1456,1456,2457,no,25.0,yes,no,,23.0,5,1,0,,no,406.0
1457,1457,2458,no,22.0,yes,no,,209.0,3,1,0,,no,270.0
1458,1458,2459,no,398.0,yes,no,,34.0,1,1,0,,no,381.0
1459,1459,2460,no,1164.0,yes,no,,72.0,1,1,0,,no,346.0
1460,1460,2461,no,487.0,yes,no,,442.0,2,1,0,,no,469.0
1461,1461,2462,no,1069.0,yes,no,,45.0,2,1,0,,no,212.0
1462,1462,2463,no,192.0,yes,no,,1120.0,2,2,0,,yes,443.0
1463,1463,2464,no,0.0,yes,no,,186.0,2,1,0,,no,134.0
1464,1464,2465,no,332.0,yes,no,,318.0,2,1,0,,no,276.0
1465,1465,2466,no,121.0,yes,no,,617.0,2,1,0,,no,255.0
1466,1466,2467,no,68.0,yes,no,,226.0,1,1,0,,no,487.0
1467,1467,2468,no,176.0,yes,no,,275.0,1,1,0,,no,168.0
1468,1468,2469,no,527.0,yes,yes,,81.0,2,1,0,,no,490.0
1469,1469,2470,no,193.0,yes,no,,74.0,7,1,0,,no,443.0
1470,1470,2471,no,7601.0,yes,no,,285.0,1,1,0,,no,471.0
1471,1471,2472,no,751.0,no,no,,261.0,5,1,0,,no,221.0
1472,1472,2473,no,495.0,yes,no,,297.0,1,1,0,,no,233.0
1473,1473,2474,no,670.0,yes,no,,78.0,3,1,0,,no,140.0
1474,1474,2475,no,363.0,yes,no,,183.0,3,1,0,,no,159.0
1475,1475,2476,no,376.0,yes,no,,15.0,1,1,0,,no,392.0
1476,1476,2477,no,292.0,yes,no,,352.0,2,1,0,,no,121.0
1477,1477,2478,no,0.0,no,no,,345.0,2,1,0,,no,461.0
1478,1478,2479,no,184.0,yes,no,,230.0,4,1,0,,no,249.0
1479,1479,2480,no,80.0,yes,no,,185.0,2,1,0,,no,222.0
1480,1480,2481,no,1824.0,yes,no,,296.0,1,1,0,,no,407.0
1481,1481,2482,no,2850.0,no,no,,181.0,2,1,0,,no,226.0
1482,1482,2483,no,48.0,yes,no,,133.0,2,1,0,,no,423.0
1483,1483,2484,no,76.0,no,no,,335.0,9,1,0,,no,297.0
1484,1484,2485,no,336.0,yes,no,,139.0,1,1,0,,no,116.0
1485,1485,2486,no,0.0,no,yes,,7.0,3,1,0,,no,351.0
1486,1486,2487,no,433.0,yes,no,,163.0,2,1,0,,no,337.0
1487,1487,2488,no,103.0,yes,yes,,956.0,2,1,0,,no,431.0
1488,1488,2489,no,1164.0,yes,no,,166.0,2,1,0,,no,149.0
1489,1489,2490,no,129.0,yes,no,,71.0,2,1,0,,no,353.0
1490,1490,2491,no,5873.0,no,no,,191.0,2,1,0,,no,375.0
1491,1491,2492,no,0.0,yes,no,,459.0,2,1,0,,no,170.0
1492,1492,2493,no,82.0,yes,no,,292.0,2,1,0,,no,427.0
1493,1493,2494,no,362.0,yes,no,,100.0,5,1,0,,no,437.0
1494,1494,2495,no,186.0,yes,no,,257.0,3,1,0,,no,112.0
1495,1495,2496,no,1216.0,yes,no,,255.0,6,1,0,,no,488.0
1496,1496,2497,no,704.0,yes,no,,233.0,2,1,0,,no,123.0
1497,1497,2498,no,205.0,yes,no,,128.0,2,1,0,,no,403.0
1498,1498,2499,no,830.0,yes,no,,246.0,2,1,0,,no,269.0
1499,1499,2500,no,315.0,yes,no,,56.0,2,1,0,,no,240.0
1500,1500,2501,no,64.0,yes,yes,,210.0,2,1,0,,no,245.0
1501,1501,2502,no,820.0,no,no,,43.0,2,1,0,,no,250.0
1502,1502,2503,no,538.0,yes,yes,,21.0,9,1,0,,no,296.0
1503,1503,2504,no,948.0,yes,no,,91.0,2,1,0,,no,217.0
1504,1504,2505,no,1288.0,yes,no,,67.0,2,1,0,,no,364.0
1505,1505,2506,no,70.0,yes,no,,219.0,4,1,0,,no,264.0
1506,1506,2507,no,393.0,yes,no,,110.0,2,1,0,,no,166.0
1507,1507,2508,no,365.0,yes,no,,169.0,2,1,0,,no,280.0
1508,1508,2509,no,879.0,yes,yes,,248.0,3,1,0,,no,276.0
1509,1509,2510,no,491.0,yes,no,,223.0,2,1,0,,no,440.0
1510,1510,2511,no,0.0,yes,no,,92.0,3,1,0,,no,143.0
1511,1511,2512,no,0.0,no,no,,93.0,2,1,0,,no,482.0
1512,1512,2513,no,229.0,yes,no,,205.0,4,1,0,,no,378.0
1513,1513,2514,no,22.0,yes,yes,,160.0,1,1,0,,no,291.0
1514,1514,2515,no,570.0,yes,no,,105.0,2,1,0,,no,280.0
1515,1515,2516,no,56.0,yes,no,,112.0,2,1,0,,no,478.0
1516,1516,2517,no,118.0,yes,no,,383.0,3,1,0,,no,225.0
1517,1517,2518,no,106.0,yes,no,,207.0,2,1,0,,no,482.0
1518,1518,2519,no,1768.0,yes,no,,193.0,2,1,0,,no,162.0
1519,1519,2520,no,213.0,yes,no,,10.0,2,1,0,,no,108.0
1520,1520,2521,no,381.0,yes,no,,985.0,2,1,0,,yes,168.0
1521,1521,2522,no,1147.0,yes,yes,,249.0,5,1,0,,no,143.0
1522,1522,2523,no,373.0,yes,no,,122.0,2,1,0,,no,398.0
1523,1523,2524,no,50.0,yes,no,,300.0,2,1,0,,no,121.0
1524,1524,2525,no,67.0,yes,yes,,672.0,3,1,0,,no,396.0
1525,1525,2526,no,0.0,yes,yes,,390.0,3,1,0,,no,238.0
1526,1526,2527,no,61.0,yes,yes,,116.0,2,1,0,,no,102.0
1527,1527,2528,no,504.0,yes,no,,481.0,2,1,0,,no,295.0
1528,1528,2529,no,177.0,yes,no,,21.0,3,1,0,,no,497.0
1529,1529,2530,no,584.0,yes,no,,192.0,2,1,0,,no,423.0
1530,1530,2531,no,732.0,yes,no,,6.0,2,1,0,,no,433.0
1531,1531,2532,no,572.0,yes,no,,8.0,2,1,0,,no,187.0
1532,1532,2533,no,105.0,yes,no,,369.0,2,1,0,,no,428.0
1533,1533,2534,no,0.0,yes,no,,393.0,2,1,0,,no,189.0
1534,1534,2535,no,832.0,yes,yes,,246.0,3,1,0,,no,345.0
1535,1535,2536,no,2642.0,yes,no,,330.0,3,1,0,,no,190.0
1536,1536,2537,no,195.0,yes,no,,380.0,2,1,0,,no,211.0
1537,1537,2538,no,718.0,yes,no,,91.0,3,1,0,,no,115.0
1538,1538,2539,no,336.0,yes,yes,,84.0,2,1,0,,no,376.0
1539,1539,2540,no,332.0,yes,no,,277.0,3,1,0,,no,321.0
1540,1540,2541,no,1.0,yes,no,,399.0,4,1,0,,no,154.0
1541,1541,2542,no,138.0,yes,yes,,89.0,4,1,0,,no,270.0
1542,1542,2543,no,749.0,no,no,,297.0,2,1,0,,no,137.0
1543,1543,2544,no,14.0,yes,no,,176.0,2,1,0,,no,371.0
1544,1544,2545,no,177.0,no,no,,75.0,4,1,0,,no,339.0
1545,1545,2546,no,557.0,no,no,,111.0,3,1,0,,no,457.0
1546,1546,2547,no,126.0,yes,no,,170.0,2,1,0,,no,233.0
1547,1547,2548,no,359.0,no,yes,,238.0,8,1,0,,no,292.0
1548,1548,2549,no,496.0,yes,no,,137.0,2,1,0,,no,210.0
1549,1549,2550,no,72.0,no,no,,141.0,2,1,0,,no,150.0
1550,1550,2551,no,175.0,yes,no,,49.0,4,1,0,,no,272.0
1551,1551,2552,no,430.0,no,no,,89.0,8,1,0,,no,357.0
1552,1552,2553,no,574.0,yes,no,,341.0,2,1,0,,no,172.0
1553,1553,2554,no,69.0,yes,no,,461.0,3,1,0,,no,100.0
1554,1554,2555,no,106.0,yes,no,,515.0,3,1,0,,no,236.0
1555,1555,2556,no,0.0,yes,no,,123.0,2,1,0,,no,320.0
1556,1556,2557,no,23.0,yes,no,,179.0,5,1,0,,no,438.0
1557,1557,2558,no,42.0,yes,no,,102.0,4,1,0,,no,389.0
1558,1558,2559,no,429.0,yes,no,,272.0,4,1,0,,no,266.0
1559,1559,2560,no,88.0,yes,no,,17.0,3,1,0,,no,429.0
1560,1560,2561,no,3932.0,yes,no,,40.0,2,1,0,,no,135.0
1561,1561,2562,no,177.0,yes,no,,209.0,3,1,0,,no,105.0
1562,1562,2563,no,468.0,yes,no,,89.0,5,1,0,,no,216.0
1563,1563,2564,no,639.0,yes,no,,1187.0,2,1,0,,no,180.0
1564,1564,2565,no,2124.0,yes,no,,123.0,2,1,0,,no,108.0
1565,1565,2566,no,309.0,yes,no,,104.0,3,1,0,,no,246.0
1566,1566,2567,no,202.0,yes,no,,200.0,2,1,0,,no,318.0
1567,1567,2568,no,20.0,yes,yes,,117.0,3,1,0,,no,159.0
1568,1568,2569,no,17.0,yes,no,,37.0,3,1,0,,no,118.0
1569,1569,2570,no,417.0,yes,no,,51.0,3,1,0,,no,169.0
1570,1570,2571,no,528.0,yes,no,,145.0,4,1,0,,no,195.0
1571,1571,2572,no,394.0,yes,no,,466.0,2,1,0,,no,315.0
1572,1572,2573,no,856.0,yes,no,,303.0,3,1,0,,no,184.0
1573,1573,2574,no,468.0,yes,no,,101.0,2,1,0,,no,157.0
1574,1574,2575,no,138.0,yes,no,,283.0,3,1,0,,no,276.0
1575,1575,2576,no,406.0,yes,no,,826.0,3,1,0,,no,272.0
1576,1576,2577,no,221.0,yes,no,,185.0,4,1,0,,no,403.0
1577,1577,2578,no,523.0,yes,yes,,598.0,3,1,0,,no,185.0
1578,1578,2579,no,52.0,yes,no,,120.0,5,1,0,,no,121.0
1579,1579,2580,no,397.0,yes,no,,185.0,7,1,0,,no,225.0
1580,1580,2581,no,432.0,yes,no,,159.0,3,1,0,,no,497.0
1581,1581,2582,no,298.0,yes,no,,220.0,2,1,0,,no,207.0
1582,1582,2583,no,1080.0,yes,yes,,192.0,4,1,0,,no,328.0
1583,1583,2584,no,85.0,yes,no,,423.0,2,1,0,,no,121.0
1584,1584,2585,no,4012.0,no,yes,,337.0,4,1,0,,no,150.0
1585,1585,2586,no,123.0,no,no,,306.0,2,1,0,,no,483.0
1586,1586,2587,no,498.0,yes,no,,99.0,3,1,0,,no,265.0
1587,1587,2588,no,23.0,yes,no,,27.0,3,1,0,,no,329.0
1588,1588,2589,yes,315.0,yes,no,,201.0,2,1,0,,no,246.0
1589,1589,2590,yes,89.0,no,yes,,166.0,3,1,0,,no,324.0
1590,1590,2591,no,699.0,yes,no,,182.0,1,1,0,,no,398.0
1591,1591,2592,no,145.0,yes,no,,193.0,1,1,0,,no,130.0
1592,1592,2593,no,138.0,yes,yes,,271.0,5,1,0,,no,318.0
1593,1593,2594,no,491.0,yes,no,,103.0,3,1,0,,no,146.0
1594,1594,2595,no,820.0,yes,no,,287.0,4,1,0,,no,256.0
1595,1595,2596,no,1376.0,yes,no,,235.0,4,1,0,,no,359.0
1596,1596,2597,no,0.0,yes,no,,732.0,2,1,0,,no,218.0
1597,1597,2598,no,507.0,yes,no,,136.0,2,1,0,,no,369.0
1598,1598,2599,no,771.0,no,no,,126.0,3,1,0,,no,297.0
1599,1599,2600,no,310.0,yes,no,,172.0,4,1,0,,no,302.0
1600,1600,2601,no,136.0,yes,no,,43.0,2,1,0,,no,357.0
1601,1601,2602,no,310.0,yes,no,,191.0,2,1,0,,no,423.0
1602,1602,2603,no,813.0,yes,no,,117.0,2,1,0,,no,457.0
1603,1603,2604,no,14.0,yes,yes,,64.0,1,1,0,,no,313.0
1604,1604,2605,no,97.0,yes,no,,260.0,5,1,0,,no,330.0
1605,1605,2606,no,332.0,yes,no,,149.0,1,1,0,,no,276.0
1606,1606,2607,no,5034.0,yes,no,,207.0,3,1,0,,no,245.0
1607,1607,2608,no,281.0,yes,no,,231.0,4,1,0,,no,271.0
1608,1608,2609,no,576.0,yes,no,,128.0,3,1,0,,no,327.0
1609,1609,2610,no,1891.0,yes,no,,162.0,5,1,0,,no,241.0
1610,1610,2611,no,473.0,yes,yes,,180.0,2,1,0,,no,397.0
1611,1611,2612,no,216.0,yes,no,,144.0,2,1,0,,no,363.0
1612,1612,2613,no,13.0,yes,no,,260.0,3,2,0,,no,418.0
1613,1613,2614,no,162.0,yes,no,,203.0,4,1,0,,no,230.0
1614,1614,2615,no,365.0,yes,no,,85.0,2,1,0,,no,395.0
1615,1615,2616,no,264.0,yes,no,,211.0,2,1,0,,no,397.0
1616,1616,2617,no,490.0,yes,no,,94.0,2,1,0,,no,217.0
1617,1617,2618,no,230.0,yes,no,,122.0,4,1,0,,no,340.0
1618,1618,2619,no,9.0,yes,yes,,175.0,5,1,0,,no,304.0
1619,1619,2620,no,317.0,yes,no,,292.0,2,1,0,,no,415.0
1620,1620,2621,no,458.0,yes,yes,,132.0,5,1,0,,no,474.0
1621,1621,2622,no,19.0,yes,no,,130.0,2,1,0,,no,354.0
1622,1622,2623,no,536.0,yes,no,,208.0,2,1,0,,no,483.0
1623,1623,2624,no,117.0,yes,no,,105.0,1,1,0,,no,369.0
1624,1624,2625,no,368.0,yes,no,,205.0,1,1,0,,no,190.0
1625,1625,2626,no,98.0,yes,no,,112.0,1,1,0,,no,368.0
1626,1626,2627,no,627.0,yes,no,,117.0,9,1,0,,no,159.0
1627,1627,2628,no,180.0,yes,no,,218.0,1,1,0,,no,432.0
1628,1628,2629,no,,yes,no,,62.0,1,1,0,,no,114.0
1629,1629,2630,no,2171.0,yes,no,,97.0,1,1,0,,no,446.0
1630,1630,2631,no,118.0,yes,no,,101.0,3,1,0,,no,181.0
1631,1631,2632,no,1059.0,yes,no,,286.0,1,1,0,,no,198.0
1632,1632,2633,no,186.0,yes,no,,241.0,1,1,0,,no,127.0
1633,1633,2634,no,1306.0,yes,no,,252.0,4,1,0,,no,435.0
1634,1634,2635,no,3007.0,yes,no,,283.0,1,1,0,,no,209.0
1635,1635,2636,no,88.0,yes,no,,131.0,1,1,0,,no,366.0
1636,1636,2637,no,265.0,yes,yes,,380.0,1,1,0,,no,140.0
1637,1637,2638,no,,yes,no,,584.0,1,1,0,,no,203.0
1638,1638,2639,no,230.0,yes,no,,371.0,1,1,0,,no,142.0
1639,1639,2640,no,252.0,yes,no,,448.0,1,1,0,,no,405.0
1640,1640,2641,no,422.0,yes,no,,274.0,1,1,0,,no,398.0
1641,1641,2642,no,85.0,yes,no,,116.0,2,1,0,,no,432.0
1642,1642,2643,no,4286.0,yes,no,,357.0,1,1,0,,no,231.0
1643,1643,2644,no,0.0,no,no,,215.0,1,1,0,,no,435.0
1644,1644,2645,no,60.0,no,no,,131.0,1,1,0,,no,239.0
1645,1645,2646,no,687.0,yes,no,,61.0,1,1,0,,no,449.0
1646,1646,2647,no,,yes,no,,617.0,4,1,0,,yes,188.0
1647,1647,2648,no,22.0,yes,no,,483.0,3,1,0,,yes,432.0
1648,1648,2649,no,333.0,yes,yes,,847.0,1,1,0,,no,399.0
1649,1649,2650,no,483.0,yes,no,,319.0,1,1,0,,no,242.0
1650,1650,2651,no,503.0,yes,yes,,57.0,2,1,0,,no,119.0
1651,1651,2652,no,1245.0,yes,no,,306.0,1,1,0,,no,414.0
1652,1652,2653,no,117.0,yes,no,,147.0,1,1,0,,no,476.0
1653,1653,2654,yes,33.0,yes,yes,,244.0,1,1,0,,no,301.0
1654,1654,2655,no,320.0,yes,no,,128.0,1,1,0,,no,469.0
1655,1655,2656,no,49.0,yes,no,,100.0,1,1,0,,no,311.0
1656,1656,2657,no,0.0,yes,no,,59.0,1,1,0,,no,301.0
1657,1657,2658,no,100.0,yes,no,,24.0,1,1,0,,no,467.0
1658,1658,2659,no,344.0,yes,no,,85.0,2,1,0,,no,350.0
1659,1659,2660,no,286.0,yes,no,,70.0,1,1,0,,no,102.0
1660,1660,2661,no,57.0,yes,no,,21.0,1,1,0,,no,104.0
1661,1661,2662,no,370.0,no,no,,167.0,1,1,0,,no,159.0
1662,1662,2663,no,470.0,yes,no,,659.0,2,1,0,,no,294.0
1663,1663,2664,no,0.0,yes,no,,327.0,2,1,0,,no,361.0
1664,1664,2665,no,767.0,yes,no,,296.0,3,1,0,,no,186.0
1665,1665,2666,yes,1.0,no,no,,307.0,1,1,0,,no,150.0
1666,1666,2667,no,0.0,no,no,,120.0,1,1,0,,no,437.0
1667,1667,2668,no,121.0,yes,no,,390.0,2,1,0,,no,457.0
1668,1668,2669,no,190.0,yes,no,,83.0,2,1,0,,no,106.0
1669,1669,2670,no,120.0,yes,no,,250.0,1,1,0,,no,397.0
